Gen, Top10AvgScore, TopScore, completionTime
1, 50.87229, 66.68925, -1
2, 41.55433, 62.37793, -1
3, 54.23035, 94.85996, -1
4, 69.71579, 94.78864, -1
5, 91.85475, 94.78864, -1
6, 94.72433, 94.88357, -1
7, 95.24281, 95.29743, -1
8, 95.56589, 95.69728, -1
9, 95.91139, 96.08158, -1
10, 96.06162, 96.12041, -1
11, 96.11069, 96.12041, -1
12, 96.15754, 96.29006, -1
13, 96.18942, 96.28255, -1
14, 97.18436, 100.2404, -1
15, 98.94116, 100.2404, -1
16, 100.1423, 100.2404, -1
17, 100.3227, 100.5669, -1
18, 101.4046, 102.2943, -1
19, 101.1941, 102.1215, -1
20, 102.1215, 102.1215, -1
21, 102.1215, 102.1215, -1
22, 102.1215, 102.1215, -1
23, 102.1215, 102.1215, -1
24, 102.1215, 102.1215, -1
25, 101.9399, 101.9399, -1
26, 102.2943, 102.2943, -1
27, 102.1215, 102.1215, -1
28, 102.1215, 102.1215, -1
29, 101.9399, 101.9399, -1
30, 102.4582, 102.4582, -1
31, 33.99871, 33.99871, -1
32, 33.99871, 33.99871, -1
33, 34.04221, 34.17271, -1
34, 34.02033, 34.08519, -1
